视频名称,up主,播放量,评论数,收藏数,点赞数,投币数,分享数,发布地点,发布时间,视频时长,推荐理由,BV号
⚡ 在 5:20 睡 觉 13:14 准 时 起 ！！⚡,学姐圆,5129787,3262,249704,487034,218421,64482,河南,1712376600,144,百万播放,BV1Mx4y1Y7pJ
挑战花光领导的所有工资！,阮阮是个天才7,406587,12674,19611,66409,47995,1180,上海,1712736922,1484,6万点赞,BV1o1421m7Kn
我服了！小米SU7这续航也太……,大鹏快开车,853318,7771,7939,71534,41515,8721,北京,1712710800,716,6万点赞,BV1Mx421S71B
河南省歌是什么梗【梗指南】,梗指南,818766,1756,5166,66031,1183,6449,江西,1712721900,145,6万点赞,BV1ED421s7wD
夜班为什么不拔智齿,铁蛋王先生,1220668,987,6774,120914,1435,1340,山东,1712655866,127,百万播放,BV1pz421y74k
中考完我走出了课堂，想去看看真正的世界～,不吃葱不吃香菜__,2758368,699,64241,349297,12061,8802,浙江,1712396190,50,百万播放,BV17C41157GF
男子尾随中国游客回家，遭2名警员开4枪击毙！EP325,细细的蓝线11,690360,11439,5243,44561,1506,2272,山东,1712718000,865,,BV16z421y7HK
终于来了！DC《小丑2》首曝预告，Lady Gaga版哈莉·奎茵登场！,乌鸦预告片,789296,2053,8379,43614,3523,34391,四川,1712711523,145,3万分享,BV1xZ421i7i5
大学生第一次出国，弟弟：下次可以不和3个姐姐出门吗？,超Carry的柴西,369280,1628,4513,16678,6052,1106,上海,1712739600,597,,BV1am41167pK
加拿大小伙住南昌9㎡：月租350元，苦读《红楼梦》,一条视频,648756,2782,22775,111638,19041,11834,安徽,1712625041,255,10万点赞,BV17m421E7Rt
《吗 喽》,张狗蛋eR,814779,545,20231,53285,25541,24360,河南,1712633400,268,5万点赞,BV15p42197gG
⚡我 在 5:20 睡 觉 13:14 准 时 起⚡,Rocker飞鹰,563563,653,18910,58538,31074,2382,上海,1712556000,113,5万点赞,BV1kz421y73L
七 年 之 痒,盗月社食遇记,1042263,7668,13235,91440,75988,1330,上海,1712655161,1670,9万点赞,BV18m411679g
真 · 保时捷平替，小米SU7~！,键盘车神教,1002875,4989,6084,51069,22279,11842,北京,1712551055,573,5万点赞,BV1J1421m791
【何同学】不用电，你能把一张A4纸扔多远？,老师好我叫何同学,3253433,8863,34810,254187,93853,8025,浙江,1712490129,626,百万播放,BV1cm42177xT
【猫meme】被班主任以为我家没钱没权和同学霸凌我三年后，土豪外婆大闹校长办公室砸碎一地（中）,没作业了叫我,607903,2694,18094,62442,14762,2961,四川,1712664404,404,6万点赞,BV1jE421u76R
半夜擦玻璃竟目睹杀人案现场？！,中国BOY超级大猩猩,238044,4629,7512,37031,14098,398,上海,1712741400,1068,很多人点赞,BV19F4m1K7yd
偷的是我家啊！,凶鸭栗,2062268,712,24641,263976,9907,7573,河北,1712659154,83,百万播放,BV1Bm421779V
"当意大利老爸知道,即将有个中国外孙时,会是什么反应?",路卡和瑞丽,239565,4092,2222,33786,28725,212,浙江,1712739600,539,,BV1TM4m1Q7V1
自从有了小孩，我的疑问不断。,papi酱,1362975,644,6710,170261,11185,7245,北京,1712656873,104,百万播放,BV1vH4y1T7Nd
早起整点包子面条流心蛋，吃完就晕碳！,小紧张的虫虫,284660,740,1529,22560,2885,463,浙江,1712742546,445,,BV14M4m197TV
阿奇误打误撞，竟然成功搞定了锅巴的配方,卡奇食品旗舰店,424922,91,2072,51273,710,154,浙江,1712571454,94,,BV14x4y1Y7Xs
我在韩国花7000租到了韩剧里韩国财阀的家,知名相声演员BBBBB大王,1098384,6912,9364,92384,30910,2815,韩国,1712664000,612,9万点赞,BV1EF4m1T78N
“我在5:20睡觉，下课铃响准时醒”,纽毕斯,1287575,621,52005,170781,76264,14974,山东,1712549100,104,百万播放,BV1ZF4m1K7qo
