视频名称,up主,播放量,评论数,收藏数,点赞数,投币数,分享数,发布地点,发布时间,视频时长,BV号
印度水下舞蹈家 Jaydeep Gohil   肢体控制能力确实非常强悍,YouTube精选字幕组,1655084,900,53030,288304,7216,13104,广东,1712818422,73,BV1LM4m197zx
【逆水寒x杨丽萍】春日浪漫雀恋和鸣，江湖再现最美舞台《雀之恋》,舞蹈家杨丽萍,980367,940,18039,30664,17004,5950,湖北,1712808000,286,BV1d1421m7DE
好上头,小鹿库库,412644,42,30303,101237,2733,1360,浙江,1712746817,12,BV1iF4m1K7sH
舞蹈生硬核挑战【张元英转圈】~硬控你10秒并拿下你的币！,耿清清呀,855571,185,16078,72147,3330,731,上海,1712828137,10,BV1TT421m7H3
一种很新的接吻方式，艾特你的好兄弟学起来#情侣日常 #甜妹 #穿搭,最亮的幸运星,518570,275,15373,70092,1468,6717,山东,1712820510,12,BV14q421c7K5
超燃超有生命力！人生不需要完美，热烈的活出自己就OK了！Catch My Breath原创编舞,美女编舞师桃子,539191,107,10410,105704,4400,1158,北京,1712721600,35,BV1MJ4m1V7Ha
【猛男版】魔性战斗民族神曲《DaDaDa》,猛男舞团IconX,534082,618,4072,58807,6987,927,上海,1712894856,91,BV1xD421p7vE
DIY超还原打歌服！LE SSERAFIM-Smart🌴全曲翻跳14套换装 | 超长制作花絮,每天都想吃生鱼片,243933,673,3947,44061,15387,648,广东,1712835300,434,BV1gp42197c7
BABYMONSTER最新回归曲SHEESH舞蹈接力版,pcyxjy,375587,2093,4145,35338,728,960,广东,1712845333,189,BV1hA4m1F7j1
刚跟妈妈吵完架录舞又不得不求她帮忙穿裙子时belike……,一小栗米吖,569536,110,6163,66298,704,227,福建,1712928179,69,BV1ox4y1a78C
喜欢姐姐哪里？Touch my body热舞翻跳,王筱沫沫丶,487722,476,10983,15552,4090,547,重庆,1712832768,91,BV1kq421F7Ym
你也是真的饿了,傲娇怪比,338081,24,12615,42496,1070,478,广西,1712743952,13,BV1jJ4m1V7Qb
奥特曼带娃挑战#张元英转圈,-宋瑶,477228,276,1912,28734,3558,4212,北京,1712894400,64,BV17J4m1V7HZ
【白小白】大小盆友齐舞《青花瓷》粤语版中国风爵士编舞,Ticki白小白,1149335,207,9887,72250,1091,1332,广东,1712574000,31,BV1jM4m1Q7o6
来看我硬控同学10秒！,Max街舞小霸王,641352,40,1892,11084,80,72,四川,1712833402,18,BV15K421a7Ru
一天天使不完的牛劲！！,蔡蔡子的双马尾,277893,14,6371,30593,367,204,浙江,1712833102,19,BV1Sp421974w
这女生肯定觉得自己老可爱了～,-MyMy麦麦-,312095,241,23193,82073,1689,715,上海,1712390400,45,BV1Hx421D7d9
我要迪士尼....,小屿屿屿_,411923,68,2710,34807,504,331,辽宁,1712743649,14,BV1UZ421e7vM
没办法，喜欢听一首歌我就是要听成千上万遍,椒兔,142133,29,9733,38214,1048,551,上海,1712838876,24,BV1tJ4m1V71f
18年，那年我在幼儿园双手插兜不知道什么叫对手🤣#鬼步舞#520AM#文艺复兴#寻美京山,爱跳舞的小学生525,2004716,422,20125,220074,5796,5805,湖北,1712397854,18,BV1Rp421y7fM
仪式开始,-萨鏝鷵-,523697,305,23090,175185,4162,1571,北京,1712416086,27,BV1tF4m1K7cE
仅推荐给有趣的人,酸梨大王,357948,106,1672,33216,3413,1074,江苏,1712916300,37,BV1bm411B7sQ
这，就是带感！,矮乐多Aliga,169291,394,8267,33015,3149,252,广东,1712894700,33,BV1zH4y1n78Y
挑战在闺蜜婚礼上跳Queencard！！,兔总裁s,697179,512,11225,43946,1757,718,天津,1712637000,153,BV1G1421o7Po
悠……和我交往吧。,咖纳o,173292,135,9095,9380,996,246,浙江,1712830924,83,BV1Pm41167VD
加班女孩的幻想午夜派对,咝小喵MAO,135463,134,6465,7471,1396,193,湖南,1712846100,163,BV1Rm411z7YG
哪个小姐姐嘴角又压不住了,SIV八尾,289118,255,13395,87424,2697,4113,福建,1712571602,15,BV1Tq421A7D7
我在5:20睡觉13:14准时起,热血的米花,1944117,443,19438,189522,2461,15904,四川,1712312256,11,BV1NC411j7yx
今年长肉了没？夏天就是要牛仔裤shake it！去年4月录的,伊小兔yuiko,148331,26,8611,5644,641,158,河北,1712910600,100,BV13F4m1K7hd
绝对领域，红裙高跟版Bing bing ，熟练的让人心疼,水兵月野兔兔,183017,67,3396,8698,515,293,安徽,1712818246,131,BV1ep42197rL
听说这是河南省省歌？,一只嘎嘎扣,203389,16,6634,18701,569,225,上海,1712739532,9,BV1bC41157qn
【鱼肉肉】肛門収縮術,鱼肉肉pabo,167622,136,1960,26362,889,891,广东,1712838869,39,BV1kp421y7Tk
