视频名称,up主,播放量,评论数,收藏数,点赞数,投币数,分享数,发布地点,发布时间,视频时长,BV号
《崩坏：星穹铁道》星旅一瞬：「命运从未公平，但……」,帕姆的收藏夹,1965797,3163,70373,214372,64368,24307,上海,1712804400,310,BV1VH4y1M7t5
编故事大王（3）,高斯Goh,1602431,16011,43000,150368,74815,3751,上海,1712905200,1132,BV11m411z7rx
《原神》4.6版本PV：「两界为火，赤夜将熄」,原神,1706953,8528,22619,130132,34630,14678,上海,1712925646,898,BV1RC411G7oH
新的BOSS登场，机甲大战 70-72，发现一堆彩蛋,鲤鱼Ace,1905164,8059,59625,37560,10108,603,吉林,1712811946,1673,BV11Z421i7kb
《绝区零》珂蕾妲角色PV丨工地午餐会,绝区零,673734,3956,11874,96442,41757,6518,上海,1712894445,1069,BV1h1421m7Us
CS2首届Major决胜全明星，来选取你的40位英雄,哟吉桑,705484,2752,27328,72587,50622,6395,重庆,1712733945,915,BV12J4m1V7HH
致命公司 M C 版「二周目版」!!？,马里奥红叔,705700,2326,13836,109430,25210,402,四川,1712880000,998,BV1HH4y1T7Fy
高烧不退打了把游戏，直接变成医学奇迹！？？,江鸽北主任,1440426,297,18774,180243,1037,2948,浙江,1712755919,52,BV1Qx4y1Y7Gg
辅助谁懂o(╥﹏╥)o-英雄联盟,骑士城堡龙,1552265,308,15766,182365,1682,2439,浙江,1712888164,16,BV1XE421u7d4
在5:20复活,敲萌豹风党,766035,371,36503,47555,3254,663,北京,1712802300,147,BV1Yx4y1Y7Qp
半夜擦玻璃竟目睹杀人案现场？！,中国BOY超级大猩猩,790007,8067,16636,87366,32410,1201,上海,1712741400,1068,BV19F4m1K7yd
【巴别塔】BB-1至BB-10 摆完挂机 简单好抄,萧然Q,1066804,1557,9252,38047,31796,1034,广东,1712825746,1593,BV1u1421m7Uj
草 坪 最 害 怕 的 一 集,萝太永不破防,1307860,1532,23284,89949,3856,2066,福建,1712678598,409,BV11p42197ya
圣女的邪恶堕落？真相让全球99%的玩家破防！这款21年的游戏真结局让人落泪！,超级funky橙子,639521,812,16150,41379,24053,570,上海,1712914200,1057,BV151421Z7p9
史上最逆天的中国游戏官方，老外被整到怀疑人生,CCheny6,548659,2928,8908,71783,11997,1368,湖南,1712916000,401,BV1vD421n7ht
《峡谷追缉令3：风云再起》,阳光男孩小丑熊,521949,1141,4580,76870,21468,1009,吉林,1712916157,509,BV1ZF4m1N7iW
【逗鱼时刻】第417期 暴雪国服回归！炉石传说启动！,天天卡牌,819241,5920,4679,44627,21089,3618,天津,1712828700,1062,BV1EE421u7KM
【战双帕弥什】新版本「云梁觅影」PV公开 | 沉音溯往，星海戎途,战双帕弥什,910080,1615,6284,47500,12644,4352,广东,1712804400,240,BV1xT421m7SF
他真的好会扭哇～(˃̶͈̀௰˂̶͈́),BAl芷,771572,139,22475,100081,928,1985,天津,1712791876,17,BV1aM4m1Q7Vi
这才是真正的！！绝地求生！！【迫击炮快乐阴人流#11】,鲁大能,510676,2428,6941,66935,21933,1607,四川,1712808000,408,BV1XD421H7Q3
我就说这个b香蕉怎么越看越熟悉,笑着的章鱼,590602,347,14625,135795,1844,8401,江苏,1712746803,67,BV1ox421U7ED
15年前仅1mb的国产良心手游居然骗小孩充值,黑镖客梦回,675722,1519,10713,40609,22121,317,四川,1712919600,965,BV1Xx4y1a79t
蛋仔派对：蛋仔拟人化形象4.0？这次终于不再只有五小只了！,傻蛋子奶酪,731358,268,36830,4079,1001,52,陕西,1712742782,209,BV1pA4m1F74N
诶？我打特级肘灵？真的假的.....要上吗【泛式】,泛式,628235,2075,7204,55444,12720,8225,上海,1712894400,480,BV1hm41167km
【散人】中式恐怖《喜丧》扒开囚笼见真相,逍遥散人,384252,5208,15337,40888,22940,4546,北京,1712912400,3176,BV1er421V7iC
有些人像新手，有些人像高手，而有些人.....,东东菠菠的卡牌妙妙屋,1341619,447,7850,108075,1630,4326,广东,1712751440,48,BV1m1421m7Cj
氪不容缓：集齐4大泰坦怪兽，4种死法你选一个？,著名神经哥,1111018,382,24210,41471,9610,455,湖南,1712651078,319,BV1TD421s7vR
刘备出装铭文又又又又来了,南泽王者荣耀,532230,110,45346,37618,4661,528,广西,1712748297,97,BV1GC41157xH
【萌黄速报】5月高招S秽土解斑！新版本情报速览！,火影忍者手游情报君,990695,1572,4986,50264,2696,12424,广东,1712915113,141,BV1Zm421L7KS
《饥饿派画家》我画了一幅“绝望的超大型巨人”作为舞台剧背景，但好像翻车了,解说皮德张,782607,289,18620,6797,788,15,四川,1712827200,295,BV12x421U7fN
【暗区突围】⚡️选择你的英雄⚡️,胆小的火柴棍,450644,317,33778,40844,11291,925,河北,1712676600,135,BV15x4y1e7C5
奢香酒桶,十六van游戏,547800,441,2755,57369,8479,2333,海南,1712839723,180,BV13D421p7d1
拇指党不要用折叠屏打音游（,百合是人类文明之宝,1006622,253,6143,83730,9709,6025,广东,1712623320,141,BV1YA4m1w7CS
《嘻嘻 好玩》,碎嘴企鹅,515014,126,2588,69553,669,618,上海,1712831558,157,BV1tF4m1K778
我的世界：4个游戏小技巧，你真的会放烟花吗？,图图图酱吖,865272,336,6495,31306,426,63,河南,1712827055,155,BV16T421m7Ne
赛博朋克中的巨大谜团：FF 06 B5，突破第四面墙！,太阳游戏百科全说,605374,825,18484,38289,5125,2904,湖北,1712676690,891,BV19m4217761
角都？青春哥【秽土转生】！我是第二个青春 现如今唯一的存在,空条豆太郎,537260,379,4581,48274,551,2495,河北,1712820726,201,BV1jp42197UU
蛋仔派对：新技能百变箱居然能吊打无敌凤凰还能随机出一颗屁,墨渊鸽鸽,805407,42,13053,2282,437,20,四川,1712826055,195,BV1Az42117tq
鬼：谁！！才！！是！！鬼！！,盒子酸奶,441485,959,5873,48300,3711,376,陕西,1712827800,413,BV1tA4m1F7nB
一口气看完拔刀剑生存，下饭太下饭了,雷忠阳,439160,145,27976,3904,985,8,四川,1712768928,5035,BV1E1421m7h4
【明日方舟】SideStory《巴别塔》剧情合集,cznull,467674,10542,10921,15304,5374,1716,北京,1712823344,14739,BV14p421977T
官宣！TGC正式入驻B站！,那家游戏有限公司,511025,1227,11023,74923,4633,4695,上海,1712741541,68,BV1bp421y7wZ
冒险之旅（39）：利用核弹炸末影合金，准备挑战哥斯拉,方块南瓜君,1367429,28,18689,2259,408,8,内蒙古,1712638619,402,BV1JF4m1T724
“游戏玩家的不同红温技巧”,数码宝贝坤,1004729,130,5650,75848,212,553,广东,1712907686,47,BV1Tr421V7ki
【明日方舟】巴别塔 全剧情流程实况 杨颜同学,杨颜同学,448447,13279,8204,21443,8478,1166,上海,1712856343,29978,BV11E421M76Q
神经病啊！,星河游戏队长,1098923,254,9555,44118,341,483,北京,1712827800,73,BV1kA4m1w7fr
《 蝎 子 赖 赖 》,觅渡Dzg,481874,223,1476,61694,368,828,四川,1712837518,160,BV1Cr421x7fZ
让迷人体验一下被兰博帮的感觉,逸鸢兰博,687803,562,643,35964,394,504,广东,1712764381,213,BV1Nm41167VM
魔兽十大未解之谜，之天谴之门中的怪物,GM视角看游戏呦,537595,247,15131,5586,310,50,北京,1712759309,946,BV1UZ421i7xy
对不起，其实我是「法老」！？,黑猫大少爷,442042,2808,6080,46254,7130,225,上海,1712966400,1506,BV13M4m1D74f
看见我的枪了吗？,王者荣耀听安,1234347,140,4989,22819,318,782,湖南,1712837221,122,BV1bH4y1T7Yz
不是，哥们这也行啊？,小海锤石,1336954,240,1363,58343,653,266,浙江,1712742773,94,BV1SC411V7qZ
【2024LPL春季赛】4月11日 BLG vs TES,哔哩哔哩英雄联盟赛事,1060234,8399,1257,10539,1698,417,上海,1712834468,18370,BV1Pt421J7LF
春眠不觉晓，下一句猜猜谁答对了,小蒋睡不醒-_-,643941,20,12258,1393,114,10,江西,1712768461,196,BV1Gm411B7hE
