视频名称,up主,播放量,评论数,收藏数,点赞数,投币数,分享数,发布地点,发布时间,视频时长,BV号
在吗？结婚！,一数,1147621,9159,24330,241056,154135,5603,天津,1712920678,106,BV17z421C7yw
苏联人如何搞互联网？【神奇组织19】,小约翰可汗,1212783,20777,29823,131982,67970,5433,江苏,1712977200,2028,BV1jz421C7Js
你的眼睛还能用多久？,好奇心会社,2061162,3962,20386,68152,1357,1005,广东,1712833581,222,BV1Gr42147Vf
水管一分为二也能凌空接住水流？神奇现象到底是真是假？,萌萌战队,2298193,1817,6525,75399,2246,471,陕西,1712750400,294,BV1Km42177kz
全国景区免费畅玩，原来这么简单？看看你能背几首吧！,宝儿姐__-,2016858,79,169970,24397,5229,213,山西,1712669471,66,BV1yp42197jG
【鬼谷闲谈】穿山甲：身在兽营心向龙,芳斯塔芙,682458,3537,11630,69071,17229,964,上海,1712912726,835,BV1Fx4y1a7gM
男子尾随中国游客回家，遭2名警员开4枪击毙！EP325,细细的蓝线11,1651657,22087,11734,100390,3243,4915,山东,1712718000,865,BV16z421y7HK
花9亿把黄河引到沙漠里，是超级工程，还是劳民伤财？,X情报社,1065566,3162,13658,148036,6314,2811,北京,1712568225,276,BV1pM4m1Q727
#搞笑#假如有全国选美大赛，评论区各种整活… 自古评论出人才,阿勒泰2012,3145923,679,7653,133406,809,1408,福建,1712637378,106,BV1EA4m1F7uH
前往深渊！我们在贵州，见到了中国最壮观的地下山河【新山海经02】,星球研究所,481256,1850,15135,48330,42300,5200,北京,1712887011,720,BV1Kx421m7SY
职场里，如何欺负一个性子软的人,菜鸟混职场_,844210,290,70613,115111,6208,4770,福建,1712574175,132,BV14H4y1M7Tv
5人大,陈志新bnu,729814,2056,5294,60388,21049,808,北京,1712835830,615,BV1bC411575z
如何把五千年的东方文化装进一个盒子里？,南翔不爱吃饭,10504287,9096,345832,476977,401605,8199,江苏,1712207735,378,BV1Br42147ZA
听说它裂的声音能持续几百年,何凡非遗宣传,509762,360,13209,86538,2128,1365,河南,1712739600,135,BV1L1421m77g
脑力工作者的3种累&3种较佳的休息方式,YouCore官方,674882,783,35572,23355,8833,7430,河南,1712655333,478,BV14M4m197t2
太刺激了！法国艺术家耗时8年用70万根火柴搭建了一座埃菲尔铁塔，却被吉尼斯官方拒绝，原因竟然是买错了火柴？,日站君,1145447,116,3344,86931,430,77,四川,1712751746,90,BV1sx4y1Y7u9
热爱生活的艺人,大壮是个摄影师,677816,112,8625,117785,1164,400,云南,1712910151,21,BV1Lr421573G
【干货】高考前中奖500万怎么办？,闪电侠-flash,713350,393,6784,118310,455,539,陕西,1712916061,47,BV1eH4y1K7UP
宝宝也要学法律？,俏佳人xxx,346707,457,4840,90271,2519,1115,广东,1712914132,172,BV1qz421r7Gh
二战饮食漫谈——斯帕姆罐头的封神之路,食事史馆,675931,3061,8032,34553,4184,820,马来西亚,1712887200,639,BV1QH4y1T7Qi
【邓肯】西藏冒险王遇难之谜，关于阴谋的几种恐怖猜测！,勾手老大爷邓肯,594873,2231,8333,44549,3144,578,北京,1712922284,1148,BV1Bz421r77u
【半佛】胖东来不出河南，真的聪明,硬核的半佛仙人,931161,957,5865,41487,3747,1621,浙江,1712739600,554,BV13r42147d7
雪崩被埋，“只有”45%的概率获救【守护法兰西S03E024】,TooT嘟嘟旅程,1693559,1224,21743,53439,3081,651,天津,1712559076,450,BV1TZ421q7hM
作品集被马斯克点赞了,RuiHuang_art,395097,142,11803,92260,1204,516,福建,1712793600,46,BV1uF4m1T7to
练出笔锋，字才好看,锦双习字,1164148,29,87547,24779,5201,169,湖南,1712583817,66,BV17E421u7qv
给二十岁和四十岁的的同学一些建议,像素范,385386,119,20382,38611,3300,1743,北京,1712629664,1053,BV1ND421s7eJ
餐具费、餐位费、茶水费？这些强制收费，都能拒付！,邹大瑞的冷水财经,2588955,172,99761,43163,2863,721,北京,1712538900,89,BV1pm41167xU
俄军教官示范 普通人遇到恐袭该怎么做？,神枪手请就位,290966,664,14044,38138,4197,1473,俄罗斯,1712745187,602,BV1ct421J7LZ
恐怖的竞业协议：互联网大厂在“吃人”,知危编辑部,1093533,14168,32246,83223,55142,22738,浙江,1712571570,1089,BV1up42197mh
嘿，这你可问对人了,武阵天王-杰哥,964819,267,2914,69961,298,101,广东,1712896737,36,BV1VA4m1c7Ut
《战壕里的烂笑话21.5——斯拉夫恶汉》,红白真的啥也没看见啊,246130,1098,11805,33079,10364,1291,河北,1712809170,1379,BV1oZ421i7zs
太像，也是个错😂（转载）,小白的3DP楽园_3D打印,983042,208,5797,85175,139,3455,中国台湾,1712652960,22,BV1VD421p7Dk
不被带节奏，全网理性分析二十一条,戏京同志,393645,3939,6230,30996,3424,1438,湖北,1712912024,638,BV1FE421M7Ce
我好像整了个水滴，大家注意闪避！,皮卡悠,2602557,2773,29089,110501,14962,2093,广东,1712491500,452,BV1nZ421B7He
如果人类在宇宙中发现了比咱们更加落后的文明会怎样？,行者道荣,1674523,4478,15970,65984,1568,398,浙江,1712585780,241,BV1Cz421k7tE
不懂就问，平地也要修桥？这座桥真的有用吗？【当当地理】,当当地理老师,1276121,176,4528,52001,413,230,四川,1712829600,59,BV1NT421m7pJ
一口气回顾，商业史上的这场奇葩大戏,无处安放的小A,415724,1753,2805,43225,1692,816,广东,1712836892,395,BV1EM4m1Q7PN
揭秘在学校最紧张的时刻,九零老师,1274977,42,7799,21521,238,24,浙江,1712828282,73,BV1kH4y1T7LW
正新鸡排两年关店一万家，炸鸡之王为何跌落王座？,冷叔笔记,1536772,1258,3558,14324,524,385,湖南,1712647896,594,BV1Nr421478B
一年亏3亿，资本撤场，高铁封杀！网红自热锅，为什么不火了？,财经不眠姐,644334,3386,2499,22071,1233,370,广东,1712909268,616,BV1Em411m7gb
冲泡奶茶还有未来吗？巅峰时期的他们有哪些故事？,环球-大机密,840917,4,2238,414,101,1,山东,1712810851,795,BV1CZ421i7Y5
提高你的英语听力,Daniel老师60秒英语,484739,595,13769,63184,1409,1143,广东,1712663682,89,BV1Kx421S79W
老公用自己钱换键盘把老婆气哭了？看看心理学博士怎么分析,李博士和他的朋友们,1198125,11513,10723,39342,6045,9867,浙江,1712573085,770,BV1SE421M7fs
高情商可以，但不能没骨气,这个月-,945116,573,30316,84999,2948,1300,上海,1712579243,250,BV1BT421m7MX
哥们，美人计，重点在计，不在美人~,穆糖纯纯纯,699538,692,3940,53337,341,269,江苏,1712746850,56,BV1yp421y7gf
人类的性演化，为何我们进化出这么多快感？【进化论】,歌白说Geslook,346630,1044,11415,14486,2948,1982,山东,1712916004,1078,BV1Mt421E7Mt
20人和150只狗，狂风暴雪中疾驰1085公里，创造史上不可能打破的记录,奇闻观察室,322621,2774,4955,23482,9264,1544,安徽,1712802600,1610,BV1Lm41167QR
【高中英语】文章难上天，分数靠白捡！福建质检阅读细节题满分逻辑蒙题法，99%正确率  | 龙坚-中高考英语,龙坚-中高考英语,1321908,667,116747,89297,17054,1949,北京,1712237357,982,BV1AC411j7M7
【大学老师推荐】懒人必用的AI工具｜再也不用亲自做PPT和备课了！科技摸鱼～,糖果果的未来要发光,342439,246,44709,23703,10323,7460,湖北,1712657009,294,BV12E421M7et
伐木时，为什么要先在树上切一个斜口呢？,好奇万花筒,1742371,80,1512,20923,461,47,上海,1712839384,56,BV1LM4m1Q7MM
（猫猫meme）成为智障老师以后被孤独症学生狂遛到开始怀疑人生,智障老师2ga,671369,1147,20713,186284,35006,2519,江苏,1712551248,269,BV18M4m1Q7us
泰国年度征兵来了！抽签生死局好刺激！,报姐唠唠,1780894,417,3503,33272,249,876,北京,1712651356,126,BV1H1421o7fm
命运凄惨的末代可汗,没问题蚊西,316962,325,4700,33835,1297,307,北京,1712747100,184,BV1WH4y1M74R
帝国霸权如何利用建国美梦，操控中东第四大民族【中东19丨库尔德】,小王Albert,324336,1797,5490,26625,8229,376,上海,1712970000,1704,BV1Gz421C75M
哪些汽车配件自己就能换？,仲夏1906,440439,130,8678,23828,501,812,北京,1712732625,128,BV1sm41167Yu
【清年阁·学霸公益课】数学：对数均值不等式秒杀极值点偏移（上）,清年阁,273170,49,16719,35285,1298,587,北京,1712662848,134,BV1g1421m7m2
这四个考试策略，让你期中多狗50分。,进阶的李铁臻-,1099353,11,127814,9370,6171,55,山东,1699093268,94,BV1R84y1D79U
欧美花费50亿难消灭的植物，我国农民视为摇钱树，还差点吃绝种！,科学大魔王,594875,1639,1228,16227,246,280,河南,1712912804,226,BV1Ex4y1a7rT
我拿紫外灯给鱼缸的水消毒 回家一缸鱼全死了!,朝阳医院急诊科魏兵,850669,198,1725,39665,198,152,北京,1712743200,64,BV1qJ4m1V7xu
千万别把汽水放在冷冻层，小心爆炸!,中国食品报融媒体,382550,560,2297,37579,380,1047,北京,1712749593,179,BV1JC41157SY
东方树叶搞饥饿营销？明前龙井真的没人能抄？【阿Test正经比比】,阿Test正经比比,465366,857,3469,13118,372,2052,湖北,1712827800,264,BV1Nm421E7ND
俄罗斯人名字里“诺夫”和“斯基”究竟是什么意思？,俄罗斯导游阿杜,727913,1419,11651,95410,1767,870,俄罗斯,1712628300,101,BV1cE421u78X
永远不要去疗愈你的伴侣，谁痛苦、谁改变！,心灵骇客松明,213433,423,12254,10560,5417,4938,广东,1712754000,613,BV1em42177Vm
茅山防务 贴身保镖,战术朱佬,448317,860,13955,58916,2185,6837,云南,1712644079,60,BV1F1421m7cM
暴雨暴雪回归！暴雪沙尘干热将来北方，新一轮高温强对流靠近,中气爱,396082,874,976,27739,1538,1513,江苏,1712846781,200,BV13M4m1Q7QB
一个细思极恐的模拟实验，自然选择的适者生存法则，到底有多残酷！,科学探索飞船,1151635,11,6168,4313,124,21,天津,1712655600,127,BV1tT421m7rq
这是真穿戴甲大户人家,地球观察员hanna,311400,75,4835,43977,252,282,湖北,1712746603,138,BV1ut421J78g
接连大翻车！医生们每个海龟汤都像一次「摸底考试」！,大物是也,289945,5009,2935,26019,11904,986,北京,1712916000,1651,BV1PM4m1Q7jr
回覆网友留言🧐 | Teacher Gary 小笼包老师,小笼包老師Gary,405150,142,5298,52823,321,2577,中国台湾,1712835000,47,BV1Em42177cs
空手出牌，外国小姐姐见了瞬间蒙圈，今天我来教你,天庭魔术,2089363,190,70183,93357,5860,662,重庆,1711710997,123,BV1Sr421b7ay
唐高宗李治，凭什么能封禅泰山？《从初唐走向盛唐04》,安州牧,203044,2806,4536,20071,16299,462,陕西,1712917403,1816,BV1ut421E7cq
【变性屠夫】500多人被他变性，最后连生殖器都装反。。。,郑郑得证,487476,609,2921,11717,525,1011,江苏,1712911162,731,BV14A4m1c7dG
这小东西也就每天早上能给我个好脸,波波妞boboniu,463286,6,5340,38298,61,700,江苏,1712890459,35,BV1WM4m1X7jj
逐渐低龄？ 为什么越来越多年轻人患癌？我们该如果预防癌症呢？,薄世宁医生,223583,374,8392,19496,1441,2286,浙江,1712802806,551,BV1zr421x7aY
FPS枪都穿模了！量子优化技术！量子力学在游戏开发中的应用,小猴哥TA,2034732,261,8532,88623,1884,432,上海,1712652216,78,BV1zz421y7ex
荷兰豆为什么荷兰叫中国豆？,敖小丙1688,547610,438,6951,36646,163,84,辽宁,1712912400,86,BV1xz421r782
