视频名称,up主,播放量,评论数,收藏数,点赞数,投币数,分享数,发布地点,发布时间,视频时长,BV号
【深海浩劫】海上平台原油泄露，还原真实的灭顶之灾！,流心影者,5613908,1823,33928,96622,2393,636,天津,1712844501,913,BV1tm42177Er
钱学森弹道到底有多厉害？他的存在，让中国不再惧怕任何国家,电影新秀,3726147,2465,52750,105004,23534,709,山西,1712748096,952,BV1eH4y1T7QH
吊车尾也有春天,-显眼宝-,1304006,1675,10608,197767,6308,1456,浙江,1712977200,198,BV12i421f7X9
我与顾少的百亿婚约最终话！,派小轩,957475,2245,5227,129526,12993,2388,北京,1712913439,221,BV11m421L7EK
第五条：记住！你住的是单人寝室,侯绿萝,1477989,290,9979,131291,1629,2029,上海,1712828538,147,BV1pT421m7Nz
我送朋友去二次元,良心发作的chunchun,627082,2036,14822,66606,26013,2350,四川,1712894700,518,BV1Nm41167XN
《绝命毒师》原版团队，居然拍了一部《暗黑》？！硬核科幻美剧《群星》上,小片片说大片,896649,3413,13068,56820,20982,1985,北京,1712831614,2983,BV1qA4m1F7xx
人生靠疯，靠孤注一掷,你的陈星越,824022,272,12178,128188,12472,1267,上海,1712741251,112,BV15D421s7PG
没有杂质的真爱可以创造奇迹，全心全意的爱过一个人也是一种成功，经典爱情电影《恋恋笔记本》,顾我电影,824752,2215,13813,52771,6022,1578,吉林,1712927100,1785,BV1Lp421X7He
初代《钢铁侠》登场，拯救了濒临倒闭的漫威电影，打戏燃爆全场！,摩斯神探,897400,926,8975,61054,1087,135,湖南,1712923200,867,BV1hz421r7P3
开春了！小朋友们注意卫生！,脱缰凯Kk,2350570,2751,28242,215187,9148,1482,辽宁,1712653973,207,BV12p421y71K
《当00后把开塞露拍成用不起的样子》,依云比比,1343789,523,17183,154594,4188,15546,湖北,1712660245,54,BV1Up421978P
神作预定？《小丑2》预告“剧透式”逐帧解析，从良小丑惨遭狂热女粉调教,努力的Lorre,702278,1407,7039,57654,7002,3093,北京,1712836964,851,BV1M1421o7RQ
深度解析——公交车大战，一拳超人马东锡VS最强反派江海尚,武侠学徒,653629,792,8736,60635,586,349,浙江,1712823576,330,BV1Wx421S7ce
【阿斗】50万人拍案叫绝的国产犯罪经典，男主全程没有一句台词，看完却背脊发凉《暴裂无声》,阿斗归来了,737583,2352,6685,43083,20156,660,湖北,1712916000,1531,BV1Cq421c7Xf
好了，没有遗憾了。,记住周淮,803519,1230,11277,67720,2457,2567,山东,1712742000,149,BV1zt421E7nA
女学生作业太多，直接跳楼自尽，家人浑然不知！,伯乐说电影,1539321,5151,8067,34472,1318,1805,山西,1712832929,573,BV1J1421o7fY
电影字幕是中国特产？国外只有残疾人用？,赛雷三分钟,656192,2423,4332,56764,1318,361,广东,1712886032,432,BV1Er42157Nu
当早餐我想吃点馒头时……,斌斌很爱吃,1065867,164,9516,95080,634,396,广东,1712830489,45,BV1tT421m7wS
国产仙侠，死于仙凡鄙视链 | 从《天外飞仙》谈高级仙侠的be美学,香芹又青了,588267,2297,10519,36465,15281,2458,广东,1712753361,1585,BV1DF4m1K7L6
徒弟都这么厉害？不愧是宫崎骏！逆天高分动漫治愈正在内耗的你,长片短解,654810,425,9093,40671,1430,420,河南,1712836800,835,BV1zA4m1F7rf
你大学生活费4000元？越南盾啊？,西维西师傅,720521,194,3011,117799,867,1312,广东,1712843769,43,BV1DZ421e73V
