视频名称,up主,播放量,评论数,收藏数,点赞数,投币数,分享数,发布地点,发布时间,视频时长,BV号
红色是phonk，但全员重phonk！！！,GPU-hunter,3503568,821,469483,234765,39209,4880,浙江,1712064928,77,BV1eJ4m157L8
带我去找夜生活 Vicetone remix,VicetoneMusic,1235266,447,43711,245436,9546,3056,上海,1712823536,57,BV1tC41157JX
河南省歌是什么梗【梗指南】,梗指南,2559985,4136,22879,155328,3459,15339,江西,1712721900,145,BV1ED421s7wD
某说唱歌手给舍友以后儿子取名字！最后一个名字太顶了！你们有更好的名字吗？,Zaage炸鸡,2228089,884,18347,204483,2937,9103,广东,1712744345,45,BV1Yq421c7WL
当校长拿起笛子时，我就知道这校长不简单，网友：费玉清听了也得点赞,民谣故事,972962,1157,16858,178641,15865,2752,河北,1712742686,70,BV1g1421o7NX
BABYMONSTER最新回归曲SHEESH乐队Live版,pcyxjy,807732,4807,20017,53949,7945,16431,广东,1712823395,180,BV1SC411V7rx
"循环歌单 | ""我在5:20睡觉 13:14准时起"" |《5:20AM》",peach63,1693584,82,230832,39518,16149,334,马来西亚,1712507165,3739,BV1wH4y1M7dN
《明日方舟》EP - ONE BY ONE,明日方舟,559960,1823,12066,58389,15340,3809,上海,1712804727,230,BV17M4m197Yy
🔥爷 在 5:20 睡 觉 13:14 准 时 起！🔥,星铁切莫Cc,832243,404,36882,72107,17203,2478,浙江,1712655651,144,BV1ur421x73J
“我在5:20睡觉，13:14准时起来吹唢呐”,浑元Rysn,844537,302,26132,62984,6148,1986,上海,1712726040,145,BV1Sp421y7et
这个河南说唱好可爱啊～挑战一个,芊芊龍龍,1518871,262,24340,105032,7845,2938,中国台湾,1712745362,26,BV1jM4m1Q71J
《谢天谢帝》官方MV 诺米么lodmemo,诺米么lodmemo126,1343351,1760,21303,70226,14600,8377,湖南,1712634865,208,BV1eA4m1F7LC
骗子 骗子 我要DISS你,武汉公安,922089,625,9404,140937,12209,10617,,1712927113,42,BV1S1421o7qN
