视频名称,up主,播放量,评论数,收藏数,点赞数,投币数,分享数,发布地点,发布时间,视频时长,BV号
当我带老爸欣赏弱智吧语录，看完感觉我才是弱智,凌凌上将-,1241355,2629,40248,134465,10765,2755,河北,1712915807,307,BV1Mp421X7Wx
你变身成迪迦 在各个奥特曼副本里拯救世界P45,磷火动漫,1117020,852,32377,13614,5097,99,上海,1712740682,537,BV121421m7ee
当熊出没遇到《wake》，整个狗熊岭都燃起来了！,怪才G,643146,1310,22010,28981,17735,948,广西,1712833061,162,BV1RA4m1F7da
⚡ 我 在 5:20 睡 觉 ， 13:14 准 时 起 ⚡,竹简Banbook,430799,374,17348,42861,12861,4509,山东,1712635500,152,BV1vA4m1F7m1
一口气听完熊出没经典歌曲,动漫搞笑视频合集,696299,63,23928,2040,529,33,湖南,1712493045,1284,BV1eH4y1T7vT
穿白丝的女主？小时候看过却记不起名字的动漫【朝花夕拾42】,喜欢数码的陈同学,2331152,3181,52509,195175,5691,2782,广东,1712229209,565,BV1jC411L7DP
大神力作,牛哥小说推荐,287271,136,13754,18583,1073,359,河北,1712582706,71,BV1hF4m1T7it
哨声响起，是我用生命在爱你（内含kiss版）,酒笙笙笙笙笙笙look,210064,48,11841,70529,4434,3056,重庆,1712501352,32,BV1dz421y7xR
我叶北海没人看没人看没人看反正没人看,小清风漫谈,141132,51,5083,10639,516,15,云南,1712919842,467,BV18C411V7u9
第68集|系统联手，怒战小成古神,奇遇十三太保,96838,971,1085,9892,6094,88,广西,1712837219,741,BV16Z421i7zN
区区八百万神明？看我东方神话版百鬼夜行,圆桌动漫,3324084,1101,80654,33597,6283,174,上海,1712048400,628,BV15x421D75k
【治愈系书单】2024一起做闪闪发光的大人吧！新的一年也要好好爱自己哦！,推文了木白柏柏,1466929,41,141683,34785,7818,614,吉林,1704074400,88,BV1oj411J7Zd
版权大作战,四年娱乐,3698427,99,23012,49512,938,98,江苏,1712223983,67,BV1Zr42147pd
“我在5:20睡觉”,妙手回春杨某人,602430,164,14296,20008,4033,2893,湖南,1712265600,142,BV1Bx4y1v7Y4
【搬砖空间】兄妹三人穿越古代，获得空间系统！,秋猫爱吃橙动画屋,286444,13,6757,574,79,2,浙江,1710642734,846,BV1Gi421d76j
《百妖谱·司府篇》第9集预告 枫生·上,百妖谱动画官方,621619,38,150,3658,581,19,上海,1712282402,36,BV1Y1421U7MQ
曹操修建铜雀台根本不是想锁二乔，他是为了锁住一个秘密,红月的怪诞,3062166,13,91608,21522,5842,87,四川,1711109764,369,BV1Fp421m7fP
婴儿长有两颗脑袋 被人将其视为怪物,麻子漫画,96375,16,494,4525,21,5,广东,1712929807,179,BV1Gr421V7E3
真正的韩老魔-第二魔婴！韩立的第二元婴之路《凡人修仙传》原著小说解读,白马侯子,77538,427,558,5096,868,36,河南,1712914094,1352,BV1Qp42197aF
第201集：残魂,小小赖狗,71171,147,264,6150,1290,34,广东,1712756920,326,BV1bJ4m1V7zg
这个版本的赢政，满足了我对千古一帝的所有幻想！,荒草音乐,73164,58,1629,2653,254,51,四川,1712812150,141,BV19Z421i7hU
~大香蕉~是蕉太狼最爱的大香蕉！,灰太狼办公室,67671,60,997,11206,150,211,广东,1712918534,16,BV1HA4m1c7bw
都市神医：七个师姐保我无敌 第1话 高手下山，全新副本开启！,奇想动漫,2203792,509,1335,10324,3080,143,河南,1697162400,432,BV1k8411k7gu
番茄小说：小道四岁半,杰夫漫说,912176,10,93104,6949,2319,13,北京,1697364006,13492,BV1SG41117rr
李火旺：以后你就叫馒头吧！牯神不死，玄牝之门！,吾乃谈无欲,56542,173,1157,5274,1561,50,海南,1712746547,365,BV1GM4m1Q7d9
这就是熊出没的浪漫吗？,熊出没BoonieBears,66140,25,1083,7646,252,102,广东,1712825161,24,BV1cE42137Rv
