视频名称,up主,播放量,评论数,收藏数,点赞数,投币数,分享数,发布地点,发布时间,视频时长,BV号
小米SU7，全国首撞！,堂主撩車,5844008,51069,62954,361123,290939,48618,上海,1712807100,2462,BV1PE421u7UV
满足了甲方的癖好♥,逗比的雀巢,3670824,7722,75015,434257,151378,17040,四川,1712898404,401,BV1iC411G7aN
就这样的经历 谁来都得上头！,大力仑爱吃菠菜,2794711,3040,40063,349383,47437,19914,河南,1712805943,502,BV1Jm421E751
芯片放大几万倍，你会看到什么？,影视飓风,2819488,10204,55609,290947,114586,13269,浙江,1712826000,999,BV17F4m1T7M2
《崩坏：星穹铁道》星旅一瞬：「命运从未公平，但……」,帕姆的收藏夹,1961870,3161,70218,214074,64270,24278,上海,1712804400,310,BV1VH4y1M7t5
⚡我 在 5:20 睡 觉 13:14 准 时 起！⚡,潮汕好男人,1604915,1678,93233,334314,90625,17092,广东,1712807886,97,BV15M4m1Q7zN
带你一起体验没大没小@爱鼓捣的邢志磊,爱鼓捣的邢志磊,3861244,1384,36862,358112,13966,13390,河南,1712914526,72,BV1W1421Z7eh
跟着气球去流浪，直到爆炸,企鹅到底会不会飞,3556173,901,44963,185100,23246,4306,四川,1712794301,173,BV1SD421W7th
一个很护食的小女孩，当了妈妈之后…,一个李欢喜,2152466,2485,35180,283573,34044,18844,北京,1712819364,112,BV1AH4y1M7jB
关于“00后实习生勇闯电子行业，意外成为运营”这件事,YXC扬兴科技,2009625,904,14776,426651,44497,4244,广东,1712651400,96,BV1ut421H72P
编故事大王（3）,高斯Goh,1593174,15961,42794,149808,74546,3735,上海,1712905200,1132,BV11m411z7rx
野外吃雪到底对与错？,EdStafford德爷,1336101,1211,21508,390414,17021,1373,四川,1712822606,62,BV1ar421x79t
在吗？结婚！,一数,1137215,9074,24099,239110,152722,5557,天津,1712920678,106,BV17z421C7yw
挑战花光领导的所有工资！,阮阮是个天才7,1703224,24158,59007,155401,114034,2506,上海,1712736922,1484,BV1o1421m7Kn
任何事做到细致，就是艺术。,画了画了Stone,1797396,757,33877,268228,149863,691,广东,1712758975,64,BV1Vq421c73S
中考完我走出了课堂，想去看看真正的世界～,不吃葱不吃香菜__,5469117,1310,151313,755009,36392,21026,浙江,1712396190,50,BV17C41157GF
【深海浩劫】海上平台原油泄露，还原真实的灭顶之灾！,流心影者,5336835,1787,32101,94259,2261,618,天津,1712844501,913,BV1tm42177Er
苏联人如何搞互联网？【神奇组织19】,小约翰可汗,1192524,20525,29471,130459,67122,5366,江苏,1712977200,2028,BV1jz421C7Js
《原神》4.6版本PV：「两界为火，赤夜将熄」,原神,1701488,8510,22534,129794,34548,14638,上海,1712925646,898,BV1RC411G7oH
钱学森弹道到底有多厉害？他的存在，让中国不再惧怕任何国家,电影新秀,3542889,2418,50207,102531,22753,686,山西,1712748096,952,BV1eH4y1T7QH
全球最贵私人飞机，30万的机票！到底吃什么？,Meetfood觅食,1259511,3132,18377,138884,88588,1442,陕西,1712912400,410,BV1Em411m7fk
【猫meme】如果命运无法改变，就努力活下去,鲨糖Slow,800387,938,11341,156133,71490,845,安徽,1712759150,221,BV1BH4y1T7bB
当我带老爸欣赏弱智吧语录，看完感觉我才是弱智,凌凌上将-,1235385,2611,40042,133861,10682,2735,河北,1712915807,307,BV1Mp421X7Wx
当一个i人被逼着拍照……,老番茄,1347799,4223,16650,143058,24462,1740,上海,1712834412,577,BV1Zz421y7RN
我发现一个中国人天天抹黑我们欧洲！我真的很生气！,马佳PopMatta,1443769,6805,9970,184757,5920,3461,浙江,1712914343,168,BV1Ei421f7Ea
红色是phonk，但全员重phonk！！！,GPU-hunter,3488612,819,468157,234298,39102,4875,浙江,1712064928,77,BV1eJ4m157L8
带我去找夜生活 Vicetone remix,VicetoneMusic,1232583,446,43598,244939,9519,3050,上海,1712823536,57,BV1tC41157JX
用500斤矿石能提炼出多少黄金？,南翔不爱吃饭,1671277,1558,26924,97088,29298,557,江苏,1712919250,302,BV1KA4m1c7km
⚡ 在 5:20 睡 觉 13:14 准 时 起 ！！⚡,学姐圆,8419899,5800,410198,725402,354176,97417,河南,1712376600,144,BV1Mx4y1Y7pJ
曾经失去的，我一定要加倍拿回来,真子日记,1666291,3027,7218,148955,7077,3005,广东,1712823951,210,BV1UK421h7ZX
好好好，看个表演差点给我整醉了,拾镹i,2909773,352,28235,230151,7954,9574,贵州,1712744624,46,BV1aF4m1T7au
新的BOSS登场，机甲大战 70-72，发现一堆彩蛋,鲤鱼Ace,1896845,8045,59469,37459,10077,602,吉林,1712811946,1673,BV11Z421i7kb
（ 我 年 轻 的 时 候 .. 嘿 嘿 ..  ）,星有野,1170531,1206,18666,203626,30259,1524,四川,1712977200,86,BV1hz421C7BH
⚡ 控 ⚡告⚡ 员 ⚡工 ⚡,配音演员高全胜,1750635,553,52674,163011,6222,3338,广东,1712830294,76,BV18A4m1F72V
【屑肚子】最抓马的一集,屑度子,1118251,260,61313,182184,5421,3353,河南,1712916462,27,BV1zw4m1m7DE
太可爱辣忍不住画了下来，暂不考虑接稿O.o,苦茶就是荼,1630657,697,27061,225478,1916,11185,云南,1712730116,29,BV1Kq421A7WE
吊车尾也有春天,-显眼宝-,1122368,1524,8860,172012,5478,1287,浙江,1712977200,198,BV12i421f7X9
《绝区零》珂蕾妲角色PV丨工地午餐会,绝区零,672201,3955,11855,96271,41695,6511,上海,1712894445,1069,BV1h1421m7Us
河南省歌是什么梗【梗指南】,梗指南,2556250,4128,22837,155161,3457,15323,江西,1712721900,145,BV1ED421s7wD
CS2首届Major决胜全明星，来选取你的40位英雄,哟吉桑,703382,2751,27266,72501,50562,6389,重庆,1712733945,915,BV12J4m1V7HH
芽衣，生日快乐！,崩坏3第一偶像爱酱,566264,5833,24275,182131,34281,6298,上海,1712937745,42,BV1Zt421A7Vv
致命公司 M C 版「二周目版」!!？,马里奥红叔,703057,2323,13808,109234,25177,402,四川,1712880000,998,BV1HH4y1T7Fy
现在相亲连医生这个职业都不香了嘛？？？,山城小栗旬的理发日记,1232470,1807,4556,144338,1719,2049,重庆,1712842572,211,BV1CH4y1T74M
小小汤姆，拿下！,巫令儿り,994371,230,23702,207296,3312,3442,吉林,1712838005,13,BV1zt421E7mA
⚡雷电女王，你选择谁？⚡【动画MEME】,在下小狐兔,751466,604,67337,168599,25688,3683,浙江,1712744510,45,BV17D421s7oH
三更半夜，一大群人在海边干什么？,小陈的快门翻车日常,1194215,7104,13576,261969,8671,2381,广东,1712672320,37,BV11H4y1T7Bw
我与顾少的百亿婚约最终话！,派小轩,919941,2193,5080,125794,12705,2298,北京,1712913439,221,BV11m421L7EK
某说唱歌手给舍友以后儿子取名字！最后一个名字太顶了！你们有更好的名字吗？,Zaage炸鸡,2225101,883,18312,204155,2933,9086,广东,1712744345,45,BV1Yq421c7WL
你的眼睛还能用多久？,好奇心会社,2046436,3952,20254,67969,1347,1002,广东,1712833581,222,BV1Gr42147Vf
