视频名称,up主,播放量,评论数,收藏数,点赞数,投币数,分享数,发布地点,发布时间,视频时长,BV号
中考完我走出了课堂，想去看看真正的世界～,不吃葱不吃香菜__,5470998,1310,151366,755300,36415,21034,浙江,1712396190,50,BV17C41157GF
【猫meme】女大报名参军被突然带走,哇哩哩哇咔,669264,491,6440,108249,3753,402,内蒙古,1712768822,204,BV1jx421S7o4
Real shit Steven.,RyanGG24,738101,706,29376,146368,4284,7053,广东,1712726726,27,BV1uE42137eq
MikuMiku oo ee oo，但是汤姆（对比版）,SYGLM,1008467,241,32526,95782,5894,6015,河南,1712760252,61,BV1pT421m7nT
#搞笑#假如有全国选美大赛，评论区各种整活… 自古评论出人才,阿勒泰2012,3139404,677,7615,133042,799,1404,福建,1712637378,106,BV1EA4m1F7uH
5人大,陈志新bnu,727233,2047,5280,60244,21009,808,北京,1712835830,615,BV1bC411575z
文化输出～一眼万年,Sunny__L__,1129251,547,9835,172826,2574,11627,广东,1712712708,31,BV1oC411V7H1
《谢天谢帝》官方MV 诺米么lodmemo,诺米么lodmemo126,1340313,1758,21225,70082,14563,8367,湖南,1712634865,208,BV1eA4m1F7LC
【猫meme】高中遇到流氓后我的炸弹妈妈和核弹哥哥,超级无敌土豆地雷,900384,964,19376,185975,5665,1010,江苏,1712519338,203,BV1y1421m7sm
【路过de懂哥】第一支视频求三连！,路过de懂哥,2830341,198,13619,235747,1266,2888,重庆,1712229013,13,BV1nZ421i79h
最强葫芦七圣人1-999集尊享版,叶良辰MVP,4501981,1581,303948,38705,14095,1395,山东,1712287479,3705,BV1Jt421n7fM
上车厢了才发现人不见了,小妤不吃鱼cy,840175,248,4603,114893,548,1748,湖北,1712825690,39,BV1mq421F7W7
日常训练,攀岩-段煜荣,2457299,226,4818,86169,317,1167,重庆,1712725626,12,BV1cr421479t
一种很新的接吻方式，艾特你的好兄弟学起来#情侣日常 #甜妹 #穿搭,最亮的幸运星,518499,275,15373,70089,1468,6711,山东,1712820510,12,BV14q421c7K5
家长情绪非常稳定，已经麻木了,爱哆哆一家人,1403416,172,12477,178213,1915,6700,河北,1711424498,44,BV1MA4m1A7QY
官宣！TGC正式入驻B站！,那家游戏有限公司,510177,1220,10996,74782,4630,4691,上海,1712741541,68,BV1bp421y7wZ
大型纪录片《山西太原植物园》打卡圣地,瑶瑶纪录片,1049434,419,12709,119902,977,8239,云南,1712661712,76,BV1Gx4y1Y7ZU
神经病啊！,星河游戏队长,1093695,253,9504,44061,338,482,北京,1712827800,73,BV1kA4m1w7fr
壶男,疯癫记录,996504,110,2422,79808,231,815,广西,1712728106,66,BV1mC411V77x
当我第一次去女朋友家,小小煎煎包包,1041848,41,4080,79700,222,2365,河北,1712741021,15,BV1yA4m1F7Eu
啊啊啊 ！！！练字哪有不疯的,生生若星,416453,296,8337,59745,887,3334,上海,1712824200,133,BV19z421k7PS
老蒯有个黑人小舅子？这顿饭菜是真硬,东北雨姐,437430,619,2014,51353,1221,537,辽宁,1712798380,378,BV1Rr421x7KL
黑豹在睡觉，我打自己试试它啥反应……,马犬黑豹,573784,413,7316,85347,658,1327,河南,1712714294,68,BV1pM4m197MR
【猫meme】弟弟在成为家庭新成员之前就和我打过招呼了。。,这里应该没人认识我叭,384954,288,5672,50291,1084,242,四川,1712842708,162,BV1zM4m197t3
【植物大战僵尸/拟人】奶油生菜x电击蓝莓,兰色的兰莓,270568,60,15582,83075,1056,706,浙江,1712802932,15,BV1ux4y1Y7Gy
小爱同学配小米SU7真实体验，人工智障还是遥遥领先？,七龙珠悟空空,1172345,1219,2392,50455,428,2206,广东,1712828650,77,BV1z1421m7Lu
你无敌了号主,原神辅酶,640820,150,6693,76466,461,5494,广西,1712918530,48,BV1wH4y1T7hE
当你戴耳机唱歌时被舍友录音,直升飞猪,917543,104,4597,78872,319,2980,广东,1712718086,31,BV13D421s7wW
南京大学直接拒绝考研笔试成绩第一,暴走的日勿,909334,817,4111,146657,1653,826,广东,1712462553,68,BV16q421F7kQ
【猫meme 但是像素！】裁员后的真实状态…,代号皮克嗖儿,509776,193,14525,114990,27068,1398,北京,1712580194,60,BV1cm42177wR
大型纪录片《大唐盛世》,陨落的天才Z,1250395,49,21745,7017,430,17,山东,1712681137,66,BV1qz421y7D4
农场封锁区送外卖现状——,自然锦鲤,452358,260,12407,15110,894,111,广西,1712735100,155,BV1iJ4m1V7P1
绿帽一戴，谁都不爱！,瘦巴巴的胖虎,496238,96,6095,66400,930,1705,重庆,1712890800,34,BV19H4y1T7AH
为陶喆版本的《泪桥》再流泪一次吧,AI音乐XYZ-小妖,243550,386,17860,24933,12884,9046,北京,1712628220,208,BV1RE421M7tr
终于！！我也是尊贵的保时米车主了！！！,我想吃橙梨樱,2185940,353,1837,50341,379,1757,上海,1712656004,29,BV1Gm41167GX
0331 - 张 - 恶霸犬吞芒果核,妙手张,931497,79,1829,56971,168,68,山西,1712748316,55,BV1Hm411B7my
你往右瞄一下他就出来了,三川大魔王,481350,81,5166,61031,633,1819,江苏,1712742012,67,BV1M1421o76A
可惜你不是贵州人，不知道不知道这种吃法有多香，有多下饭,李家妹妹来了,1525306,679,3551,72387,275,2220,湖南,1712579308,34,BV1hA4m1F7Mn
野猪王之御猪飞行！,野猪王0,353769,541,8376,47414,1935,4198,江苏,1712914162,168,BV1dF4m1P72w
（猫猫meme）成为智障老师以后被孤独症学生狂遛到开始怀疑人生,智障老师2ga,670591,1145,20674,186042,34962,2518,江苏,1712551248,269,BV18M4m1Q7us
一个浩大的工程完美竣工！！！耗时三个半小时，第一次用屌字形容一个玻璃。,Indulgeinplunder,801448,51,8948,123667,567,2132,广西,1712378361,37,BV1TZ421B7nG
真的是车上怎么老有红牛罐不丢的,蓝教的日常,1840252,38,434,19679,156,34,广东,1712812316,14,BV1ct421J7KT
【清年阁·学霸公益课】数学：对数均值不等式秒杀极值点偏移（上）,清年阁,271879,49,16633,35113,1288,584,北京,1712662848,134,BV1g1421m7m2
俄罗斯人名字里“诺夫”和“斯基”究竟是什么意思？,俄罗斯导游阿杜,727441,1417,11637,95323,1765,869,俄罗斯,1712628300,101,BV1cE421u78X
大型纪录片《电子钓鱼》上映,阿杨记录片,967839,85,5168,50771,163,3638,山东,1712929946,71,BV1HM4m1X7V2
