视频名称,up主,播放量,评论数,收藏数,点赞数,投币数,分享数,发布地点,发布时间,视频时长,BV号
太极拳实战用法,武汉陈炳太极院张朋,2173940,860,104295,265912,28686,8126,湖北,1712465695,31,BV1kp421y7sg
街头挑战 第一次见可以单手俯卧撑的女生,PT健身华哥,941599,4988,9037,99359,3116,5946,上海,1712741365,351,BV1tT421m7J3
神 威 难 藏 泪,安静君,1226351,871,19670,129397,15731,14732,山东,1712724206,41,BV1Nx421m7BS
张镇辉台球正经教学【6个不太建议使用的技巧】18.0版本,张镇辉台球教学,903437,1472,9457,133788,2407,3319,广东,1712977200,131,BV1Qx4y1Y7XU
日常训练,攀岩-段煜荣,2485086,229,4895,87670,329,1185,重庆,1712725626,12,BV1cr421479t
"""和他一起比赛想赢太容易了""——亚洲GOAT姚明台词向混剪",小白剪了个球,565338,401,17917,29245,3138,159,美国,1712721600,501,BV1QZ421i7Ln
穿中山装，镇压一切邪恶。你们要的中山装铁子们。,卖蛋糕的可爱杨,1594993,1061,17112,195429,3386,4002,云南,1712636734,23,BV18p42197eh
赶紧跟咱妈妈说，立刻马上不要拖。,李汎的健身日志,1829378,379,77258,169068,6786,12479,福建,1712585309,79,BV1Qp421y7CS
着急去取经,朴男krisun,629073,369,4529,94070,1193,3148,浙江,1712830192,23,BV1WF4m1K7Kf
【文振教练】视频加载中，速速查收惊喜！,文振教练,1758737,283,13078,77588,752,558,北京,1712635423,89,BV1WF4m1K7Yf
像这种鞋子要怎样才能洗干净,钓鱼幻想家,975695,383,1780,82743,193,1162,福建,1712837438,47,BV1ox42127ew
心中有拍 自然成神,跃动王叔,349969,160,8815,104691,1055,3206,福建,1712802410,10,BV1TC41157SE
10年前我做咖啡就是这个场面~,张艺杰跑酷,1460811,94,3123,60640,490,2392,湖南,1712819705,34,BV1DC411579v
"在各项运动中""制动""是产生速度的关键所在",松师傅_,835763,193,11980,57655,508,839,浙江,1712674204,36,BV15t421J7Em
古代实战枪到底有多长？长枪不灵活，短枪太弱鸡是真的吗？,弓刀手大邦,440403,633,2859,41588,400,70,山东,1712925093,208,BV1Lr421V7ZF
帮助颜如晶减掉100斤!压上我过往的所有战绩和名誉!,短腿小萝卜_babycarrot,587537,606,2369,35033,1482,1526,上海,1712741400,231,BV1Jp421974U
感谢兄弟们支持，不负众望！,刘守元_,537283,137,2690,76504,4484,613,浙江,1712757352,19,BV1Fz42117ih
“这个视频会把你累到”沉浸式体验“魔鬼800m”，普通人心中最难的田径项目！大卫·鲁迪沙跑完累到直不起腰！,核桃体育君,3906826,359,25609,62005,864,588,山东,1712482438,126,BV1ur421472V
营养师每天好好吃饭，运动却胖了20斤,娜佳健身,292621,281,5630,34211,2379,858,美国,1712829526,376,BV1Tz42117M8
【奥运冠军的脊医博士后】颈肩僵硬疼痛自救,脊医博士鹏哥,603459,93,11633,44192,699,1229,上海,1712735535,22,BV1oJ4m1G7VJ
师父：挑不了一点，真扎心,少林七小侠,355007,116,2742,59165,280,146,江苏,1712745073,120,BV1EK421a7qC
20天内，两破全国纪录！他才17岁,人民日报,2283149,475,13444,383940,3573,2185,,1712486195,25,BV19D421W7b5
观赏·肌肉型阿拉蕾-怎么看都缺了个带翅膀的帽子,ziy23,647618,298,11705,51834,1227,2651,安徽,1712637135,121,BV1yD421W7Cg
俩美女拿鱼去换饭，离留下刷盘子最近的一次,嗨皮钓鱼记,390204,228,2058,31649,388,77,山东,1712739641,513,BV1Fm411B7Hp
假装没发力，实际确实菜的球员,概辞彼,519063,164,2710,47494,316,632,辽宁,1712911665,49,BV1ur421V7uB
替大家试过了，这样转场真的绝,影石Insta360,4245687,992,24697,330786,2476,35629,广东,1712486725,21,BV16M4m197mE
想要体验臀部“炸裂”的感觉吗？！,刘畊宏willliu,385354,22,12856,23525,350,988,泰国,1712926738,20,BV1UC411G7wT
新手引体向上的进阶顺序，你学会了吗？,雷音入象,265398,22,22164,22577,1763,1015,安徽,1712664705,40,BV1dC411V7hY
首发威少就是怪物？他如何一人打爆一队？伤愈复出后又改变快船了？,业余球探刀先生,333740,538,1432,15495,2794,303,江苏,1712759093,443,BV141421m7u1
躺床上练的健身瑜伽瘦全身训练#瘦腿瘦腰瘦肚子 #懒人减肥  #居家锻炼,王教练爱健身,105425,16,19171,6953,910,1938,广东,1712668095,238,BV1TD421s75F
中式新规,张镇辉球杆号,393257,65,2619,23355,158,392,广东,1712899402,99,BV1mr421V7KW
用脚扣篮的张国伟弹跳是什么水平？,越动1v1弹跳扣篮指导,653904,36,465,12845,66,22,广东,1712760939,72,BV1dt421E7ap
学会了这一招，还担心钓不到鱼？,宇小静钓鱼游记,577868,69,635,26551,173,947,贵州,1712757180,14,BV1BH4y1T7N7
以后场边没有应援海报，我都不会打篮球了…,超级草根_王师傅,372684,208,1409,59187,935,37,陕西,1712734059,37,BV16x4y1h76a
强化手腕能力/ 忘记手部受伤,拳击教练Artem,112124,29,16058,20948,1223,341,广东,1712828645,74,BV1SC411V7f5
成年人要为自己的冲动买单！收拾好心情直面人生巨大挑战｜骑行第4年我终究成为了sworks车主｜我为什么又换车了？提车+fitting分享｜西班牙骑行比赛备赛日记,VKKKKK大魔王,397456,785,3499,6952,1053,425,贵州,1712838513,413,BV1sM4m197Nk
第一个上场的学员，顶着巨大的压力努破素质PB,师兄的体育课,1662236,22,1366,34703,113,9,四川,1712577175,66,BV1PE42137eX
当你意识到自己很久没讲话时,天才大风,629281,39,1131,46853,45,78,新疆,1712647487,15,BV1q1421m7bC
看你小子这次还怎么siuuuuuuu,WWE中国,787164,250,11760,103953,849,2726,新加坡,1712565239,17,BV1nz421y7Ui
真心建议大家下班后回到家马上洗澡刷牙!,一点点烟火气,352942,316,2588,2470,364,579,北京,1712753151,191,BV1Zr421x7Wi
顶级服务,移动艺术家の裴晗,3834579,981,22234,312732,4319,11534,河北,1712282448,57,BV1cH4y1n7ZF
为什么不教“回旋发球”？也就逗逗小孩、炫炫手感，违例且比赛中没威胁！,乒乓国球汇-guoqiuhui,580345,47,979,27029,165,134,湖北,1712627381,140,BV19m411z7oD
跑者和正常人类的区别,纸巾老撕跑跑步,266020,113,1603,37827,514,542,陕西,1712929631,97,BV1jx421U7ip
左顾右盼已成神，不见当年领头人.”）,曼哥体育,400566,15,1867,22982,79,45,河南,1712836384,31,BV1KT421m7K1
艾特你打球偷步的兄弟,张三永鲲版,523690,58,537,17828,67,560,云南,1712737342,33,BV1rM4m1Q7Hd
这波操作有第二个人能做到算我输。#台球 #这是高手,姚望台球,636208,13,219,2719,46,32,湖北,1712919627,17,BV1fF4m1N7RM
脏老师；胖库里你小子单干吧！！！,球场脏无忌,319767,243,607,20631,126,44,广东,1712795541,108,BV1oD421W7Cd
李明100米跑7.98秒！,一百天一级教练,421603,135,1584,22384,68,99,山东,1712750102,22,BV1fr421x7Be
护肝片能减肥？是“智商税”吗？,闫帅奇,698058,78,4344,16042,935,608,上海,1712631600,242,BV1PM4m1Q7LR
【大不刘耶】更新了一条视频，快来围观！,大不刘耶,413259,104,937,21825,148,990,广西,1712914619,62,BV1xm421j7yS
进击的岩二代｜像不像磕线的你,知知野哒哒,348096,471,4854,55369,1828,7385,广东,1712322792,118,BV14Z421B7te
硬控汤姆15秒,欧阳春晓Aurora,311431,40,1160,28434,479,248,广东,1712829087,16,BV1ED421s7eU
减脂第四十二天：放纵日午餐,努力的橙子减脂期,196203,272,437,22194,583,331,河南,1712827067,278,BV1kD421W7ru
帕梅拉 - 6分钟 腹肌快虐｜短平快 巧克力腹肌打造 高强进阶 新手劝退,帕梅拉PamelaReif,103916,138,9360,4905,595,644,德国,1712808000,434,BV11m42177Kc
谁能拒绝朋友叫出去踢球呢？除非\,花式足球克里斯,592463,36,2251,25885,98,389,北京,1712660424,10,BV1fJ4m1G7Ns
小赵向我发起挑战，跑1000m被我拿捏了,大正爱跑步,175207,262,474,23276,278,76,山东,1712832313,217,BV1Km411B7Ri
【孔博士】肩颈酸沉，如何有效放松？,孔博士工作室,7859554,454,191664,142563,25509,41783,江苏,1705906836,289,BV1Ui4y1W73q
足坛电子厂！曼市好邻居、英伦好二哥,爱穿小脚裤的花轮,201891,1664,1322,12675,3907,569,北京,1712791800,1021,BV1Gz42117KU
红牛街攀西久保智美作品,Redbull极限,288265,186,1373,25062,162,353,江苏,1712788476,32,BV12x421U7DK
百年鱼腩，正在冲向欧冠！全队身价不如半个姆巴佩！,内德羽则说,207906,1321,1463,9621,2892,500,江苏,1712810675,788,BV1VE421u73K
《三国台球》之诡异杆法,三国战台球,698664,136,11257,102283,686,2101,江苏,1712319523,32,BV1zJ4m157YK
爆笑解说欧冠马竞2-1多特和巴黎2-3巴萨！就当两场0比1~,鸡锟苗师傅,210619,649,1010,11469,2293,413,北京,1712833459,370,BV1sx421S74N
青瓦台头号保镖，李小龙的小迷弟自学了截拳道的核心理念，不拘泥于任何一种武术形式，把马伽术，八极拳，通背拳，咏春等融会自成一派，强悍的爆发力与反应速度,格斗新视界,454068,145,679,8811,35,25,福建,1712738816,22,BV1Wp42197Ko
和兄弟一起钓鱼，我笑声太大差点被踢下河,荷塘星星,162765,1371,603,15333,6606,69,湖南,1712916000,667,BV1PA4m1c79L
笑着笑着不见了,野球帝郭师傅,302259,70,2687,57925,987,355,浙江,1712665825,12,BV1Gx421S726
