视频名称,up主,播放量,评论数,收藏数,点赞数,投币数,分享数,发布地点,发布时间,视频时长,BV号
芯片放大几万倍，你会看到什么？,影视飓风,2824525,10213,55733,291310,114797,13302,浙江,1712826000,999,BV17F4m1T7M2
关于“00后实习生勇闯电子行业，意外成为运营”这件事,YXC扬兴科技,2011851,907,14804,427239,44556,4248,广东,1712651400,96,BV1ut421H72P
三更半夜，一大群人在海边干什么？,小陈的快门翻车日常,1197344,7132,13618,262550,8692,2387,广东,1712672320,37,BV11H4y1T7Bw
自制左轮里电钻,手工耿,914809,4893,5693,79225,29636,2474,河北,1712916000,643,BV1cH4y1T7bH
"""看好了，我只教一次。""｜中北大学平衡步兵机器人",RoboMaster机甲大师,972371,211,9463,117809,2210,3298,广东,1712829337,19,BV1VD421s7Rd
【何同学】不用电，你能把一张A4纸扔多远？,老师好我叫何同学,5096415,10267,66049,315125,114113,9676,浙江,1712490129,626,BV1cm42177xT
雷总我错了，是他们让我干的。,小抱同学,1086110,630,6384,94360,6038,16154,湖北,1712830741,44,BV1Mx4y1Y7dn
夜晚 宿舍 室友一起开黑,电子饭桶酱,1443141,383,6765,50132,537,1591,辽宁,1712830388,56,BV1KC41157mY
学会这招后，娃娃机都是你的！,白帽黑客-龙哥,1282119,2,124456,9132,3267,46,湖南,1711445051,64,BV1XH4y1H7KN
「小白」Redmi Turbo 3测评：8s Gen3 焊门成功没？,小白测评,479200,3378,1374,15390,1676,994,湖北,1712752200,569,BV1rZ421i752
“神舟十五飞船轨道舱，在洛杉矶坠落”：美国太空军确认这一幕,空天同学,1521748,2635,5827,59584,670,831,辽宁,1712570647,417,BV1EK421a7Za
黄瓜：上的了战场，下得了厨房,CP神b站唯一账号,985262,287,5409,65528,276,1517,河北,1712535051,25,BV14T421m7x2
百克笔记本也有高性能！全新华为MateBook X Pro 详细体验--极致轻薄 超高性能 全场景AI一应俱全,科技美学,422971,3141,1445,13210,1485,1888,黑龙江,1712822913,615,BV1xT421m7cL
你们是面向什么编程？,程序员牛牛学长,786265,86,1420,23413,168,1313,福建,1712746560,11,BV13p421y7jG
🤬AI求职陪练，这下还怕面试？,百度侠,363957,349,3491,13546,1281,2153,四川,1712837267,228,BV1yF4m1K7bw
大疆 AVATA 2 评测：我妈，60岁当上了王牌飞行员.....,橙红Iris,202219,1912,4162,17103,14549,2316,重庆,1712840400,668,BV1mm411z7rg
五年了，华为终于解决了这个问题...,六分超超,376262,741,2998,10841,1841,223,上海,1712743769,517,BV1Mm421779H
垃圾堆里捡宝贝，修复不常见的手机,手机奇妙事,728147,5,1667,242,20,1,云南,1712645300,141,BV1gJ4m1V7GK
听劝！成为黑客后，人生像开了挂！（网络安全/信息安全）,黑客老K,358410,158,16561,42262,1584,392,湖南,1712556608,49,BV1Wr421x7Gs
【短的发布会】新官上任卷性能，Redmi Turbo3借鉴友商PPT全程开大1999,短的发布会,278305,866,1132,18727,852,365,广东,1712833558,208,BV1uA4m1F79h
【自制】客制化蓝牙外设，创意玩法，把隔空手势、体感映射成鼠标、键盘和触控等操作,极客范特西,227689,168,8390,12142,2798,739,陕西,1712731040,127,BV1AC41157nm
吐槽了这么多年的B站网页端，终于变好看了,一网一匠,904578,537,24051,18097,6005,540,浙江,1712496174,203,BV1NE421u7xh
几百吨的飞机是如何起飞的,科普创世纪,219394,261,4291,17090,2164,599,湖北,1712668322,237,BV1cm411B7sn
我要被厂商拉黑了！骁龙7+Gen3、8sGen3实测 就这还叫小8Gen3？【新评科技】,新评科技,254208,1668,1523,12086,3040,510,湖北,1712804786,992,BV1jt421J7Jn
小米Su7电池碰撞来了,小牛说车-粉丝版,307920,185,816,21162,1256,569,江苏,1712805453,102,BV1Nr42147xP
挑战展会现场爆改电竞桌，还把我的头带去参展了！,贪玩歌姬小宁子,239677,216,2304,9254,2036,760,上海,1712838192,449,BV13m41167yP
花4888买的iPhone 16 Pro，属实是太离谱了！,开箱阿洋,454634,19,524,288,32,0,贵州,1712737250,127,BV1vM4m197yC
女儿的“游戏秘密基地”,ACG外观研究社,1161730,658,20949,27047,6441,904,江苏,1711011600,507,BV1Fx421Q7sR
学习模电，如此简单！华哥手把手教你学模电,黑马华哥讲嵌入式,379001,80,6078,19900,346,181,广东,1712628771,37,BV1zM4m1Q753
【热男】旗舰横评！华为Mate60 Pro+ vs. 小米14 Ultra vs. iPhone 15 Pro Max vs. 三星S24 Ultra,热男HotGuys,252492,2957,2217,12810,5103,429,广东,1712741400,1511,BV1Am421E77n
从织布到AI，人类是如何教会机器“思考”的？【差评君】,差评君,147775,560,3798,11602,1943,425,浙江,1712835369,662,BV1BH4y1T7Zf
下班后死磕这4个网站，就算失业了也不怕！,老麦的工具库,647081,185,115147,55655,12488,11162,北京,1711541124,70,BV12H4y1H7Ac
又考了次科目二，但在天上｜大疆Avata2首发评测,小鹿Lawrence,220006,1167,1688,8379,2259,859,北京,1712893500,789,BV1Cm421L7gd
首拆评测！1公斤不到竟然还有40W性能释放的旗舰轻薄本，华为MateBook X Pro,搞机所,164803,528,714,19340,643,307,广东,1712822971,723,BV1WT421m7it
当媳妇问我的键盘都是多少钱...,一个小小小猫,246047,283,1158,22666,547,789,河南,1712835309,83,BV1At421J7uL
华为MateBook X Pro上手体验 找到了吃苹果的技巧,林捂捂,193513,1313,1169,10313,2428,961,北京,1712822926,634,BV1CM4m1Q75d
【享拆】Redmi Turbo 3 拆解：性能探索就交给它了~,微机分WekiHome,207517,1179,682,7970,735,388,广东,1712752200,547,BV1nm421779e
装机猿全体失业？【BTF 3.0】装机猿灭绝计划,远古时代装机猿,133594,287,1369,11558,6253,766,北京,1712919600,198,BV1UT421m7Na
卓威当led灯用 好好好,Suber368,375308,21,331,9453,36,530,四川,1712724750,12,BV1Wr421x73M
别盲目多花钱！手机内存12GB、16GB、24GB体验到底差多少？结局意外 | 大米评测,大米评测,163031,956,1277,9679,2792,298,浙江,1712908090,528,BV18w4m1m71Q
ThinkBook X首发评测：高端轻薄新成员,笔吧评测室,195527,1300,813,7780,918,638,上海,1712834618,566,BV1Kx421S7QH
大疆发布 DJI Avata 2 第一视角飞行体验无人机，快意飞驰,DJI大疆创新,219618,265,1634,10340,842,3158,广东,1712840400,121,BV1Rp421y7Ee
从鸿蒙，到红魔！,红心柚Eugene,210610,277,2507,1981,450,34,辽宁,1712748114,746,BV1Sp42197rj
40系哪款型号才是性价比天花板！,重庆IT超市-ROG旗舰店,265135,469,1565,17113,357,323,重庆,1712653200,376,BV1dH4y1T7BA
vivo手机的专业模式,vivo手机小技巧,82769,15,9983,12922,403,249,广东,1712745060,89,BV18H4y1M7MD
让你手机好玩10倍，安卓用户都要知道的最强App,李大可爱玩,85703,219,7354,5584,1386,246,广东,1712923200,262,BV14C411V7J8
6个很变态，但能变有钱的方法！,工具人胡胡,93696,8,8307,2487,1001,281,北京,1712753211,122,BV16t421E7Ze
活了20多年，第一次知道鼠标还能这么用...,玄离199,1107487,1601,86925,89974,14937,3690,河南,1712396760,334,BV1Gz421177a
这些生活中的技巧和技能，你总有用得到的,顾辞水电工电子,2096916,744,124454,180732,16416,4779,河南,1711716950,252,BV1VC411L7gv
我又买了可能是世界上最大的手机！！！,--圈圈--,586894,401,11536,8137,1475,135,四川,1712549459,347,BV14M4m197AA
芯片输入为啥要接0.1uf的电容？为啥不是10uf？,工科男孙老师,98948,117,3503,8153,1510,348,浙江,1712829069,282,BV1LE421u7gK
都觉得我买的这些东西贵，其实一点也不便宜,苟胜老师,177128,129,620,7363,143,47,陕西,1712759203,203,BV1mz421k77b
显卡名字的字母和数字都什么意思？,绿联数码,158402,21,5133,10382,314,108,广东,1712836800,57,BV1CZ421e76Q
【纯水拌饭Ep.2】关于我在上班路上捡到俩实习生这件事情...,有梦想的阿肯老师,95174,737,1343,9482,7094,338,福建,1712801072,735,BV1mA4m1F7dA
会发脾气的小机器人，900多元，已经开卖了！🤯,刚开始更新的蜗牛君,312074,94,9051,13758,1143,2684,广东,1712577898,81,BV1mK421h7FA
那岩你的小米SU7很好 但是下一秒就是我的了【曦彤】,曦彤Asuna,151650,333,811,10416,639,49,黑龙江,1712828100,156,BV1bC411577b
听劝，工卡不要乱捡，因为。。。,大嘎子大嘎子,1000256,55,6900,49415,302,332,天津,1712583889,17,BV1PH4y1M7oX
我爸的新设备？装一台8盘双固态万兆NAS是什么体验！还领悟了装电脑的秘诀！,芊芊老猫的日常,242012,722,4021,16581,3074,1058,河南,1712652972,641,BV1nD421p7G9
佳能70-200镜头摔得颤抖异响 防抖维修,二手光圈,402514,172,2368,29540,519,238,山东,1712547859,151,BV17E421u7q5
300元左右的山寨机到底好不好用？？？,开箱大黑牛,176109,89,1833,3235,62,18,贵州,1712743200,153,BV1LE421u7rS
耳机也能复古？无线颈戴耳机还在更新？！华为FreeLace Pro 2体验,大狸子切切里,141659,544,704,6788,747,224,广东,1712801280,403,BV1nD421s7Fx
塔吊上面点外卖，小哥姑给我送上来吗？,_红烧大西瓜,259201,354,1248,14126,233,117,北京,1712655992,92,BV141421m7hP
【从零开始的C++游戏开发】游戏局内场景搭建和物理模拟基础 | EasyX制作植物明星大乱斗,Voidmatrix,114617,21,2291,4950,382,59,山东,1712826000,604,BV1mC411V7Uz
最新最全！吊打付费！这13款才是真正的电脑必装软件！,云婉儿丶,497560,1520,58730,21465,11355,1672,福建,1712302576,381,BV12z421o74i
小米汽车SU7 提车测评 搞个大的！给小爱升级运存。这下都知道翻车了！,杨长顺维修家,152015,266,555,6251,435,457,广东,1712748611,441,BV1jC411G7r1
【全是塑料or疯狂堆料？】Redmi Turbo 3首发实话实说,六里屯X光,143657,1444,361,5737,912,143,北京,1712752200,402,BV1Ez42117j7
轻量级机身+重量级性能？新款华为MateBook X Pro 上手体验,胜利文绉绉,97986,545,1787,5939,1548,2002,广东,1712826890,535,BV1gp42197Kq
坏女人只会影响我玩电脑的速度！！！把玩星舰机箱！,学员老冯,132679,2603,3539,9209,4383,473,江苏,1712733985,1588,BV1Km411B7r8
三位数，名人堂，要多香就有多香！纯白装甲，颜值性能两开花，收了她？,搞机研习社,48554,371,1408,4971,3710,109,浙江,1712802600,100,BV1Ct421E7WN
网络安全当黑客MK知道你的微信登录密码kali爬虫渗透测试,学神科技,255376,7,222,5104,46,6,北京,1712891328,44,BV1BZ421Y7wo
再次挑战。,泰坦音响3,366766,0,8253,492,68,0,广东,1710026422,361,BV1Ku4m1g7Da
把磁铁区分NS极 有哪些方法？,磁励哥,404780,1,99,1082,52,2,广东,1712577600,11,BV16E421M72N
很遗憾的告诉大家，Mate60Pro大概率不会再有5g标识了，不过华为能做到这样，已经很厉害了。,宋宋玩数码--,733713,66,235,1524,22,61,天津,1712480242,33,BV18H4y1M7Sk
快速搞懂马斯克SpaceX员工大会透露的最重要的三点信息,转账三百salute,237964,793,1125,17843,466,501,湖南,1712501102,96,BV1cq421c7r8
iPhone用久了真的比安卓流畅吗？三年前苹果三星华为小米的旗舰手机如今性能对比如何？,90后科技说,126897,814,840,3153,514,176,山西,1712759132,884,BV1Bz421y76W
驱动电机的秘密：什么是IGBT与SiC？【汽车逆变器与功率模块】,谈三圈,67997,445,1482,7265,3586,335,湖南,1712756316,521,BV1pH4y1M75G
「花生」华为FreeLace Pro 2：有生之年系列，颈戴旗舰终于更新啦！,花生説,102856,1279,814,6360,1263,393,浙江,1712801408,485,BV19x4y1Y7sh
雷酸汞制造原理,今日原理,599912,286,23933,59271,1332,1007,安徽,1711461440,94,BV1Rf421Z7We
华为口红耳机2开箱，不一定斩女，但一定斩男,喵呜呜咽咽咽,210160,179,187,3190,28,455,广东,1712762998,41,BV1ap421978T
起猛了，两轮电动车都开始无人驾驶了,酷玩实验室,131739,97,263,4242,1054,111,北京,1712828239,412,BV15T421m7PE
【产品评测】更轻，但性能更强？——华为MateBook X Pro评测,硬件茶谈,110628,411,468,5609,470,424,河北,1712826099,402,BV1gx421S7ak
对讲机也想刷B站？没关系，我会出手！,晨钟酱Official,1082892,1232,23008,51531,9755,1020,上海,1712196900,455,BV1bm421E76a
红米Turbo3价格公布时B站弹幕反应！,手机数码速报,148952,67,97,1196,11,197,湖南,1712750268,170,BV1ME42137MR
THX射线究竟是什么？泰坦电视人身上又有哪些有趣的设计？,幻老撕GAME,66916,315,1885,6625,1869,55,陕西,1712928000,353,BV1qr421V77b
【2024学生平板推荐】这4款很香？兼顾游戏娱乐、课程和生产力,Yoko视频工作室,253363,161,28563,5860,1304,17,四川,1711710300,320,BV1Sq421A7ot
更新完 Pocket 2的鸿蒙 4.2，我要给华为跪了……,老吴谈体验,126925,93,137,2778,70,54,广东,1712852299,173,BV1Fp42197tU
